r,' g',' b',cluster
0.096079,0.100853,0.105084,cluster5
0.842225,0.837407,0.838959,cluster4
0.09832,0.139728,0.164468,cluster5
0.462323,0.424358,0.422163,cluster1
0.136565,0.149913,0.175639,cluster5
0.122997,0.161597,0.180502,cluster5
0.152297,0.184644,0.184,cluster5
0.140221,0.167957,0.179615,cluster5
0.343248,0.164746,0.234894,cluster3
0.197748,0.204417,0.195221,cluster5
0.54498,0.528807,0.535803,cluster2
0.83595,0.833897,0.834867,cluster4
0.426807,0.402594,0.393655,cluster1
0.553364,0.511751,0.511129,cluster2
0.147922,0.139514,0.147335,cluster5
0.489487,0.431226,0.431929,cluster1
0.307451,0.264393,0.271542,cluster3
0.337091,0.328689,0.333787,cluster3
0.630958,0.802149,0.906457,cluster4
0.65692,0.626358,0.63234,cluster2
0.092655,0.100714,0.124423,cluster5
0.726205,0.725431,0.730769,cluster4
0.121535,0.162354,0.152739,cluster5
0.066844,0.057846,0.064925,cluster5
0.134124,0.176065,0.164265,cluster5
0.229092,0.247927,0.224429,cluster3
0.100251,0.110597,0.135352,cluster5
0.110109,0.113898,0.129008,cluster5
0.348931,0.338009,0.342755,cluster3
0.262453,0.245892,0.231317,cluster3
0.325515,0.292738,0.276891,cluster3
0.314608,0.275556,0.265043,cluster3
0.14405,0.143226,0.168912,cluster5
0.138364,0.1631,0.169186,cluster5
0.151487,0.212226,0.171762,cluster5
0.212472,0.225672,0.21656,cluster5
0.145334,0.178986,0.189645,cluster5
0.218263,0.197873,0.204924,cluster5
0.126516,0.124968,0.143313,cluster5
0.299475,0.160011,0.221451,cluster3
0.28314,0.246095,0.235593,cluster3
0.322864,0.29067,0.270805,cluster3
0.171408,0.202093,0.199822,cluster5
0.160102,0.143324,0.156819,cluster5
0.22087,0.230962,0.228041,cluster3
0.241419,0.234601,0.21855,cluster3
0.15141,0.177508,0.174895,cluster5
0.208755,0.177125,0.20664,cluster5
0.724235,0.697573,0.69885,cluster4
0.291167,0.271657,0.279205,cluster3
0.328325,0.226017,0.281764,cluster3
0.282871,0.248545,0.24343,cluster3
0.223361,0.216787,0.25957,cluster3
0.132451,0.142311,0.161441,cluster5
0.198298,0.199444,0.185796,cluster5
0.243152,0.223046,0.245989,cluster3
0.310459,0.284606,0.256496,cluster3
0.240988,0.272378,0.227216,cluster3
0.413625,0.352218,0.338126,cluster1
0.387003,0.237185,0.268781,cluster3
0.37778,0.307507,0.294494,cluster3
0.217139,0.193832,0.210375,cluster5
0.143027,0.140135,0.144814,cluster5
0.223194,0.194709,0.211669,cluster5
0.254983,0.219131,0.222517,cluster3
0.386188,0.323847,0.304352,cluster1
0.339101,0.284571,0.271279,cluster3
0.409635,0.353061,0.35309,cluster1
0.342864,0.28772,0.266034,cluster3
0.546932,0.541827,0.546041,cluster2
0.420695,0.343471,0.324735,cluster1
0.328132,0.291701,0.299864,cluster3
0.264562,0.262021,0.269564,cluster3
0.190782,0.170369,0.188174,cluster5
0.260275,0.214302,0.248559,cluster3
0.153217,0.135492,0.150625,cluster5
0.466939,0.403695,0.395077,cluster1
0.424248,0.394806,0.419196,cluster1
0.496231,0.421818,0.405233,cluster1
0.315497,0.302988,0.314858,cluster3
0.462684,0.377093,0.35602,cluster1
0.380561,0.323354,0.298214,cluster3
0.264818,0.230782,0.240618,cluster3
0.204883,0.164461,0.190309,cluster5
0.33622,0.282175,0.294979,cluster3
0.506492,0.276487,0.304351,cluster1
0.466248,0.386785,0.381181,cluster1
0.493849,0.448644,0.439938,cluster1
0.815841,0.812963,0.815445,cluster4
0.780553,0.765877,0.77144,cluster4
0.528756,0.408823,0.404347,cluster1
0.581564,0.540769,0.557735,cluster2
0.346214,0.342819,0.336917,cluster3
0.283786,0.270496,0.279156,cluster3
0.453084,0.410747,0.402666,cluster1
0.556268,0.409667,0.399462,cluster1
0.600326,0.54617,0.542698,cluster2
0.703906,0.358481,0.35621,cluster2
0.702863,0.702353,0.713746,cluster4
0.596033,0.550647,0.55694,cluster2
