r,' g',' b',cluster
0.711756,0.724107,0.713576,cluster3
0.853724,0.623672,0.591121,cluster3
0.999044,0.999044,0.999128,cluster4
0.638451,0.640741,0.639927,cluster3
0.029754,0.030214,0.992955,cluster1
0.649484,0.499786,0.30342,cluster3
0.454654,0.454736,0.565207,cluster1
0.993537,0.033423,0.033147,cluster5
0.133335,0.133335,0.308902,cluster1
0.515199,0.496947,0.77984,cluster3
0.824889,0.739269,0.663019,cluster3
0.815686,0.815686,0.815686,cluster2
0.933346,0.933314,0.788244,cluster2
0.314604,0.305717,0.880344,cluster1
0.938842,0.932715,0.938275,cluster2
0.943731,0.241363,0.240996,cluster5
0.772944,0.562866,0.458273,cluster3
0.950458,0.855588,0.121943,cluster2
0.281992,0.281997,0.426788,cluster1
0.757984,0.776091,0.760956,cluster3
0.807749,0.874579,0.802024,cluster2
0.868432,0.872313,0.876264,cluster2
0.847045,0.941158,0.847043,cluster2
0.905969,0.847545,0.719851,cluster2
0.88417,0.954452,0.77827,cluster2
