r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r11,g11,b11,r12,g12,b12,r13,g13,b13,r14,g14,b14,r15,g15,b15,r16,g16,b16,r17,g17,b17,r18,g18,b18,r19,g19,b19,r20,g20,b20,r21,g21,b21,r22,g22,b22,r23,g23,b23,r24,g24,b24,r25,g25,b25,r26,g26,b26,r27,g27,b27,r28,g28,b28,r29,g29,b29,r30,g30,b30,r31,g31,b31,r32,g32,b32,r33,g33,b33,r34,g34,b34,r35,g35,b35,r36,g36,b36,r37,g37,b37,r38,g38,b38,r39,g39,b39,r40,g40,b40,r41,g41,b41,r42,g42,b42,r43,g43,b43,r44,g44,b44,r45,g45,b45,r46,g46,b46,r47,g47,b47,r48,g48,b48,cluster
0.667806,0.458908,0.443959,0.648343,0.439467,0.427373,0.575921,0.385038,0.378936,0.577532,0.426815,0.419407,0.79468,0.706301,0.682061,0.864135,0.795162,0.754927,0.876867,0.81844,0.778341,0.681445,0.471586,0.456006,0.657904,0.446944,0.433781,0.589248,0.400636,0.393052,0.589021,0.43787,0.42858,0.805129,0.722364,0.699295,0.889034,0.829759,0.791866,0.89421,0.847061,0.811264,0.677508,0.469865,0.453148,0.65995,0.451381,0.436297,0.582779,0.398561,0.389527,0.552726,0.402297,0.393503,0.787577,0.707903,0.687892,0.909067,0.857413,0.821577,0.909636,0.865693,0.834735,0.652132,0.456096,0.439322,0.662776,0.455853,0.439358,0.588231,0.40849,0.397725,0.527263,0.383242,0.374149,0.76254,0.682015,0.663257,0.898467,0.845993,0.813775,0.897736,0.85316,0.825889,0.631449,0.454228,0.435993,0.652653,0.459721,0.44079,0.592833,0.428105,0.416077,0.509016,0.373934,0.364151,0.751769,0.671225,0.654919,0.914763,0.861739,0.830713,0.906373,0.860411,0.835188,0.614091,0.451539,0.433348,0.625422,0.449997,0.430598,0.584552,0.431066,0.417238,0.499265,0.373192,0.362049,0.74421,0.657312,0.638561,0.868764,0.811679,0.779506,0.860029,0.806883,0.782655,0.615128,0.464497,0.445812,0.588928,0.432822,0.414202,0.581495,0.442529,0.427922,0.542196,0.422845,0.407297,0.734185,0.645821,0.623816,0.824567,0.763057,0.730423,0.82655,0.766615,0.742542,cluster2
0.683632,0.442142,0.4471,0.65325,0.403604,0.414172,0.611252,0.379598,0.385983,0.565905,0.366487,0.365954,0.696804,0.558204,0.539251,0.890775,0.811053,0.763251,0.903122,0.832274,0.783545,0.683397,0.445761,0.448902,0.653911,0.414563,0.421494,0.614118,0.394372,0.396697,0.565503,0.373255,0.371185,0.703384,0.569223,0.547404,0.899848,0.821248,0.772806,0.909694,0.837544,0.791342,0.681466,0.453237,0.453196,0.65548,0.427529,0.430136,0.621907,0.409223,0.40857,0.566166,0.384095,0.379696,0.693756,0.562538,0.539405,0.871649,0.789055,0.745078,0.875983,0.800556,0.759713,0.699509,0.505463,0.496663,0.647125,0.455314,0.451863,0.606656,0.427001,0.422363,0.563373,0.40384,0.396515,0.665647,0.539812,0.519685,0.847518,0.760157,0.719207,0.840939,0.76417,0.726036,0.65599,0.484266,0.475154,0.608142,0.445096,0.439715,0.584863,0.431786,0.425724,0.553783,0.409389,0.399987,0.639343,0.511354,0.486546,0.782015,0.685786,0.641756,0.766922,0.681826,0.64277,0.591325,0.438018,0.432657,0.580405,0.428154,0.422996,0.577923,0.438031,0.432383,0.56566,0.432635,0.420084,0.637723,0.518633,0.490225,0.703265,0.607683,0.571233,0.712221,0.62614,0.593303,0.537781,0.415116,0.413834,0.556203,0.425773,0.42023,0.591409,0.467047,0.458619,0.599232,0.477966,0.460284,0.623116,0.513714,0.485881,0.678315,0.583789,0.549795,0.667422,0.585084,0.56009,cluster2
0.695942,0.499672,0.498176,0.67501,0.467883,0.471035,0.666531,0.462738,0.463919,0.658443,0.475274,0.47159,0.707192,0.562254,0.545346,0.774325,0.657502,0.626345,0.789153,0.683382,0.65126,0.656123,0.471179,0.473844,0.652835,0.451374,0.457416,0.648829,0.454077,0.457417,0.648973,0.473611,0.472764,0.689981,0.549546,0.535305,0.746016,0.633246,0.608286,0.765064,0.662215,0.635972,0.60446,0.442798,0.449084,0.613119,0.43401,0.440425,0.624406,0.446558,0.449589,0.637606,0.469064,0.4687,0.665982,0.522195,0.512165,0.724906,0.613106,0.590056,0.726589,0.624454,0.603336,0.575379,0.438797,0.444736,0.580982,0.426277,0.432294,0.608542,0.450795,0.452404,0.626205,0.470539,0.468183,0.653879,0.509636,0.500222,0.698251,0.585788,0.565923,0.707412,0.604094,0.583016,0.556478,0.433026,0.437925,0.551148,0.413765,0.420132,0.602453,0.459456,0.460099,0.632077,0.484922,0.479984,0.645966,0.505289,0.495482,0.694195,0.583108,0.56205,0.704922,0.601914,0.580102,0.550124,0.42231,0.425574,0.559283,0.421461,0.42624,0.613373,0.472122,0.471085,0.650124,0.506012,0.497372,0.656011,0.51844,0.505986,0.697242,0.587151,0.56651,0.705871,0.600234,0.580692,0.572855,0.445372,0.444875,0.587061,0.449984,0.4524,0.631992,0.490522,0.489958,0.680299,0.539482,0.528923,0.672358,0.538957,0.526608,0.705952,0.593811,0.575765,0.7074,0.595618,0.580201,cluster2
0.803478,0.671344,0.643552,0.823378,0.691131,0.660531,0.826811,0.694037,0.663456,0.821555,0.688423,0.657419,0.811524,0.679665,0.650588,0.800099,0.670118,0.640775,0.771536,0.642756,0.617159,0.785992,0.658627,0.636595,0.810791,0.683989,0.657477,0.812759,0.683072,0.6563,0.804616,0.67219,0.646396,0.796688,0.664496,0.63807,0.790367,0.658986,0.632871,0.763668,0.635425,0.612749,0.707668,0.576991,0.559343,0.698764,0.567995,0.547561,0.693751,0.561028,0.538127,0.706439,0.571399,0.54873,0.721119,0.586468,0.564973,0.704958,0.572055,0.552616,0.661974,0.53214,0.514899,0.399631,0.322334,0.318411,0.388488,0.326596,0.321617,0.463221,0.392785,0.384283,0.47021,0.384321,0.371831,0.448093,0.36088,0.349194,0.437133,0.36144,0.352512,0.47159,0.400719,0.393576,0.522671,0.474457,0.474094,0.674223,0.636026,0.633329,0.702122,0.662765,0.65846,0.619072,0.563572,0.555092,0.577628,0.514824,0.505949,0.618527,0.566637,0.55924,0.66292,0.61676,0.611161,0.523279,0.48232,0.477816,0.767531,0.73396,0.729068,0.785979,0.750543,0.744901,0.53926,0.489495,0.481608,0.426575,0.374657,0.366679,0.629244,0.581382,0.573383,0.734197,0.693394,0.688711,0.531095,0.476629,0.469037,0.685215,0.645453,0.638564,0.723321,0.682053,0.674443,0.49831,0.445562,0.436959,0.376428,0.319405,0.311692,0.617394,0.563137,0.556281,0.694297,0.650848,0.647595,cluster2
0.767516,0.645386,0.618764,0.823152,0.693578,0.665455,0.82005,0.685226,0.657699,0.778376,0.64879,0.628279,0.787511,0.666427,0.646062,0.779633,0.658431,0.635783,0.733505,0.609778,0.586867,0.623386,0.492847,0.478987,0.699778,0.55331,0.53246,0.703695,0.547966,0.523982,0.673093,0.52403,0.503723,0.683937,0.545463,0.525457,0.685571,0.553363,0.531319,0.71671,0.5876,0.564416,0.510233,0.406858,0.401038,0.567256,0.446747,0.434709,0.607938,0.466807,0.448363,0.562552,0.430395,0.416783,0.510136,0.396729,0.386636,0.485809,0.388914,0.378595,0.597264,0.502456,0.489124,0.542697,0.461076,0.459733,0.50411,0.412258,0.405885,0.595359,0.467175,0.450792,0.52046,0.412142,0.402356,0.49142,0.406581,0.397391,0.547796,0.47479,0.465904,0.627262,0.556849,0.54664,0.683051,0.605109,0.599128,0.588697,0.509605,0.500439,0.59391,0.488104,0.471523,0.566615,0.476327,0.464166,0.616333,0.546288,0.535935,0.732839,0.668399,0.65846,0.711324,0.644476,0.633799,0.693389,0.61053,0.600926,0.697274,0.618564,0.60733,0.555861,0.469311,0.454966,0.57839,0.49656,0.484139,0.706887,0.638389,0.628303,0.694898,0.624811,0.614243,0.58876,0.510848,0.498566,0.637879,0.552079,0.542722,0.750189,0.674721,0.66597,0.557313,0.474152,0.461823,0.556834,0.479317,0.468543,0.704679,0.633996,0.624393,0.640474,0.565789,0.555752,0.623343,0.531239,0.5171,cluster2
0.674825,0.524794,0.510663,0.678774,0.527001,0.510293,0.685966,0.531435,0.51196,0.691811,0.535089,0.514009,0.69339,0.534773,0.512161,0.695916,0.535643,0.511606,0.697989,0.537913,0.51337,0.653932,0.507791,0.501746,0.652568,0.505472,0.49642,0.651412,0.50388,0.491003,0.648842,0.501311,0.485777,0.647587,0.499353,0.482744,0.64868,0.499363,0.481401,0.654816,0.503653,0.484798,0.656824,0.508251,0.500673,0.653067,0.50572,0.496481,0.650632,0.503776,0.492859,0.64802,0.501063,0.488827,0.643832,0.495366,0.481956,0.641096,0.491198,0.476744,0.643889,0.491258,0.475349,0.661855,0.511775,0.500819,0.6589,0.509043,0.498185,0.656949,0.507465,0.495735,0.65724,0.507628,0.495801,0.656498,0.504418,0.491987,0.653564,0.49923,0.486384,0.656338,0.498149,0.48312,0.668744,0.518386,0.505922,0.66515,0.514242,0.501761,0.661538,0.510051,0.497865,0.660212,0.50805,0.496658,0.659703,0.505295,0.49348,0.660758,0.503603,0.490996,0.67087,0.506999,0.491022,0.673877,0.526418,0.510565,0.670512,0.523243,0.507483,0.667258,0.519682,0.504178,0.664846,0.516234,0.501029,0.665219,0.513906,0.498746,0.666604,0.511951,0.496685,0.677335,0.515992,0.498831,0.691019,0.55614,0.527336,0.688036,0.552178,0.524437,0.688235,0.550463,0.525152,0.690092,0.54889,0.525955,0.694171,0.548602,0.527763,0.698781,0.548916,0.529158,0.703883,0.548848,0.529175,cluster2
0.66467,0.514902,0.505986,0.65845,0.508394,0.501409,0.652176,0.502732,0.49676,0.647071,0.498651,0.492333,0.643422,0.494854,0.486628,0.640867,0.491832,0.48153,0.642201,0.493896,0.482066,0.665517,0.513839,0.505387,0.656358,0.505687,0.499184,0.648336,0.49867,0.494127,0.641772,0.493486,0.489155,0.634975,0.488161,0.48178,0.628845,0.48208,0.473753,0.624545,0.479893,0.470393,0.669695,0.517173,0.505,0.665069,0.512178,0.500813,0.6611,0.507796,0.497605,0.657386,0.504036,0.494519,0.65349,0.50047,0.489957,0.649117,0.496429,0.486259,0.647085,0.49497,0.485517,0.673602,0.522083,0.507126,0.670116,0.517811,0.503545,0.6677,0.514413,0.500996,0.664932,0.510786,0.498411,0.661732,0.506557,0.494636,0.659839,0.504506,0.493385,0.659781,0.504215,0.494057,0.675859,0.525257,0.510195,0.674623,0.523417,0.509374,0.674041,0.521551,0.508364,0.670726,0.517493,0.504861,0.668113,0.513709,0.50173,0.665184,0.50984,0.498429,0.663706,0.507572,0.497011,0.681037,0.534654,0.515865,0.680969,0.533893,0.516018,0.680831,0.532634,0.516001,0.679037,0.529692,0.513643,0.676453,0.526704,0.511665,0.674672,0.52313,0.508616,0.671637,0.518627,0.504546,0.701586,0.569601,0.536209,0.700643,0.566895,0.535934,0.701618,0.565997,0.537552,0.702986,0.564212,0.537914,0.701785,0.561132,0.53719,0.702094,0.558984,0.537532,0.703198,0.556103,0.536844,cluster2
0.707252,0.548564,0.532743,0.701083,0.542609,0.527742,0.692775,0.534636,0.519978,0.691225,0.533239,0.51967,0.683136,0.525985,0.511778,0.670956,0.518603,0.504489,0.658568,0.506179,0.494455,0.705398,0.546489,0.530368,0.701999,0.541972,0.526701,0.692147,0.534371,0.51909,0.689906,0.533662,0.517694,0.685183,0.529104,0.511439,0.674432,0.521561,0.504958,0.663742,0.510516,0.496822,0.698665,0.541792,0.522837,0.69654,0.539281,0.519211,0.691017,0.535051,0.51508,0.691429,0.536057,0.515566,0.688526,0.533701,0.512164,0.681969,0.528407,0.509145,0.669442,0.515643,0.499804,0.693755,0.537728,0.517997,0.694341,0.538318,0.517399,0.690125,0.534827,0.513613,0.693758,0.538691,0.517664,0.693521,0.538351,0.516528,0.687858,0.53255,0.512968,0.675708,0.522482,0.506901,0.692698,0.538013,0.519414,0.695154,0.540123,0.520307,0.692661,0.537227,0.51654,0.695289,0.540235,0.519458,0.698346,0.543224,0.521105,0.692095,0.537541,0.517104,0.685077,0.533251,0.516768,0.693135,0.545537,0.5198,0.695479,0.548422,0.522727,0.693079,0.546736,0.520404,0.697591,0.551423,0.525267,0.704818,0.556794,0.531058,0.701358,0.553073,0.529596,0.700203,0.551921,0.532231,0.699613,0.563785,0.528799,0.697382,0.563313,0.528363,0.700484,0.564674,0.531004,0.707426,0.570458,0.539015,0.713227,0.575179,0.547383,0.715567,0.575772,0.551804,0.714881,0.572702,0.552548,cluster2
0.710778,0.505523,0.48882,0.616242,0.433585,0.42573,0.547398,0.399848,0.38862,0.678684,0.573842,0.541728,0.781233,0.683227,0.629315,0.809417,0.715388,0.664803,0.631138,0.503793,0.487747,0.664482,0.473129,0.458143,0.603825,0.426889,0.419235,0.489147,0.351353,0.343577,0.732555,0.629302,0.598719,0.876018,0.781696,0.727093,0.836645,0.747132,0.698483,0.590951,0.46755,0.452459,0.648044,0.462337,0.448947,0.591364,0.41941,0.411048,0.491573,0.355545,0.346888,0.77967,0.676517,0.647256,0.894006,0.79769,0.742992,0.866444,0.776165,0.730965,0.555859,0.440761,0.429415,0.632253,0.458554,0.446896,0.56435,0.403559,0.394216,0.518919,0.383856,0.373884,0.79808,0.694656,0.665476,0.873175,0.774436,0.722316,0.885657,0.79351,0.750727,0.558311,0.444897,0.434935,0.626809,0.462254,0.451654,0.554405,0.399659,0.388583,0.564366,0.430956,0.419164,0.782232,0.677267,0.649496,0.829134,0.728355,0.681882,0.865177,0.773271,0.735378,0.573346,0.46625,0.457752,0.63698,0.488524,0.477029,0.562293,0.424329,0.41299,0.604392,0.476578,0.463465,0.730976,0.624717,0.599551,0.782741,0.683016,0.642874,0.82276,0.733137,0.701532,0.5604,0.461254,0.454248,0.677986,0.540029,0.529078,0.600659,0.473476,0.463218,0.608111,0.487191,0.473855,0.67147,0.56517,0.538211,0.740309,0.644387,0.605193,0.754144,0.669898,0.64412,0.535947,0.446252,0.441255,cluster2
0.659017,0.468222,0.469721,0.590817,0.414494,0.412207,0.526892,0.370898,0.361891,0.798121,0.702937,0.66633,0.924783,0.842978,0.782175,0.888136,0.810462,0.765094,0.678563,0.566893,0.557649,0.632522,0.443816,0.443014,0.570801,0.394598,0.388574,0.537473,0.385475,0.375532,0.788419,0.692067,0.655927,0.906842,0.82346,0.766143,0.861591,0.781845,0.740295,0.651317,0.53827,0.530692,0.61966,0.442075,0.434642,0.585746,0.41752,0.406501,0.547682,0.401465,0.389636,0.759731,0.662611,0.629941,0.897658,0.813066,0.75729,0.819042,0.73616,0.698588,0.617245,0.499643,0.493036,0.629403,0.462364,0.450617,0.600266,0.441734,0.428394,0.545857,0.406955,0.394086,0.74293,0.644286,0.611441,0.880919,0.799479,0.745105,0.794638,0.709673,0.674779,0.619849,0.497302,0.490579,0.612671,0.46064,0.448498,0.600998,0.454561,0.441285,0.554607,0.422353,0.406221,0.704857,0.604052,0.569693,0.831432,0.747175,0.695703,0.73932,0.647454,0.615473,0.61288,0.485859,0.477745,0.608078,0.467125,0.454106,0.618209,0.482392,0.466867,0.574804,0.44759,0.426549,0.670015,0.572659,0.538395,0.743336,0.659522,0.616841,0.691899,0.600952,0.575641,0.609021,0.483585,0.476973,0.596998,0.464793,0.451891,0.610993,0.484932,0.470434,0.593125,0.471309,0.447641,0.659955,0.555402,0.521559,0.703809,0.610224,0.568684,0.654742,0.560138,0.539305,0.594381,0.475332,0.469539,cluster2
