r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r11,g11,b11,r12,g12,b12,r13,g13,b13,r14,g14,b14,r15,g15,b15,r16,g16,b16,r17,g17,b17,r18,g18,b18,r19,g19,b19,r20,g20,b20,r21,g21,b21,r22,g22,b22,r23,g23,b23,r24,g24,b24,r25,g25,b25,r26,g26,b26,r27,g27,b27,r28,g28,b28,r29,g29,b29,r30,g30,b30,r31,g31,b31,r32,g32,b32,r33,g33,b33,r34,g34,b34,r35,g35,b35,r36,g36,b36,r37,g37,b37,r38,g38,b38,r39,g39,b39,r40,g40,b40,r41,g41,b41,r42,g42,b42,r43,g43,b43,r44,g44,b44,r45,g45,b45,r46,g46,b46,r47,g47,b47,r48,g48,b48,r49,g49,b49,r50,g50,b50,r51,g51,b51,r52,g52,b52,r53,g53,b53,r54,g54,b54,r55,g55,b55,r56,g56,b56,r57,g57,b57,r58,g58,b58,r59,g59,b59,r60,g60,b60,r61,g61,b61,r62,g62,b62,r63,g63,b63,r64,g64,b64,r65,g65,b65,r66,g66,b66,r67,g67,b67,r68,g68,b68,r69,g69,b69,r70,g70,b70,r71,g71,b71,r72,g72,b72,r73,g73,b73,r74,g74,b74,r75,g75,b75,r76,g76,b76,r77,g77,b77,r78,g78,b78,r79,g79,b79,r80,g80,b80,cluster
0.793196,0.694024,0.658126,0.805288,0.719753,0.686252,0.824472,0.758974,0.72868,0.860677,0.810922,0.780422,0.87872,0.839125,0.808449,0.886418,0.854445,0.825891,0.883701,0.854471,0.828676,0.842896,0.81442,0.796431,0.80302,0.774442,0.762253,0.85206,0.762345,0.726945,0.845414,0.766154,0.73692,0.844926,0.783941,0.760801,0.866424,0.82132,0.799296,0.872705,0.835648,0.815388,0.867436,0.833508,0.815527,0.849362,0.814279,0.8004,0.805892,0.76924,0.760963,0.763855,0.725447,0.723088,0.810511,0.707331,0.68244,0.803665,0.711617,0.691049,0.79886,0.723126,0.707616,0.788549,0.726905,0.713718,0.742059,0.689648,0.679631,0.710924,0.664492,0.656366,0.704616,0.65995,0.654031,0.677944,0.634082,0.633017,0.619125,0.577535,0.580753,0.6135,0.507346,0.490216,0.614244,0.511686,0.498414,0.562989,0.476332,0.468819,0.506577,0.437264,0.432795,0.51143,0.4555,0.45236,0.529815,0.48165,0.479435,0.460095,0.416801,0.415529,0.394624,0.354475,0.355234,0.412968,0.376265,0.378268,0.566502,0.476503,0.466886,0.555131,0.463553,0.455287,0.532598,0.457052,0.453338,0.546058,0.486267,0.483797,0.599963,0.551866,0.550294,0.646649,0.606251,0.604071,0.627861,0.591771,0.588952,0.617802,0.584432,0.581579,0.648978,0.618585,0.615688,0.588614,0.507442,0.496557,0.5795,0.497772,0.486955,0.550907,0.48467,0.476734,0.583836,0.529173,0.521435,0.592828,0.548268,0.542923,0.581632,0.543912,0.538885,0.531237,0.495963,0.491581,0.470247,0.437743,0.434733,0.46861,0.438927,0.436772,0.623563,0.555541,0.543037,0.590298,0.521183,0.508516,0.575508,0.514689,0.503616,0.622219,0.571109,0.561798,0.609763,0.569347,0.563124,0.598246,0.563358,0.559763,0.5785,0.544931,0.544865,0.511953,0.480396,0.484173,0.512936,0.483185,0.490941,0.61972,0.562229,0.552567,0.560129,0.50484,0.495628,0.576491,0.524742,0.516646,0.625686,0.577824,0.570831,0.599844,0.558103,0.553117,0.58725,0.550244,0.546249,0.553078,0.518161,0.51457,0.479545,0.445525,0.443241,0.486741,0.45384,0.454539,0.616919,0.569552,0.56273,0.554187,0.507984,0.501787,0.585702,0.543655,0.538077,0.621816,0.581979,0.576486,0.627478,0.589834,0.58545,0.668436,0.63305,0.629054,0.654599,0.620982,0.617378,0.613462,0.581833,0.5793,0.61654,0.586334,0.585172,cluster2
0.709447,0.66115,0.649296,0.71325,0.665253,0.65118,0.716148,0.66759,0.651721,0.708997,0.658005,0.640553,0.714559,0.66221,0.644222,0.701336,0.638443,0.619841,0.637586,0.564102,0.548659,0.569386,0.485742,0.474113,0.537305,0.447139,0.436288,0.757939,0.727173,0.719325,0.765885,0.7352,0.724561,0.773023,0.740955,0.728341,0.77057,0.736158,0.722474,0.779395,0.744418,0.730228,0.736557,0.685859,0.67063,0.638797,0.571672,0.560186,0.535109,0.452774,0.445546,0.505075,0.416535,0.409676,0.859484,0.843839,0.838089,0.866067,0.849932,0.841641,0.867794,0.850105,0.840058,0.861881,0.841704,0.83154,0.869506,0.849096,0.838726,0.793,0.752097,0.740788,0.650208,0.586855,0.580153,0.529692,0.447784,0.444644,0.505663,0.417433,0.414614,0.916199,0.909168,0.904187,0.923714,0.915416,0.907805,0.919016,0.90868,0.899014,0.914849,0.902239,0.894384,0.918429,0.905662,0.89878,0.812302,0.775218,0.76617,0.639612,0.575588,0.570982,0.518767,0.436485,0.435689,0.500427,0.412329,0.411599,0.928892,0.921914,0.915047,0.93417,0.925649,0.916448,0.928467,0.918018,0.906638,0.922662,0.909965,0.900279,0.923483,0.910274,0.902649,0.805628,0.768185,0.759968,0.622379,0.558519,0.55592,0.505643,0.424155,0.42511,0.493697,0.406624,0.407022,0.924564,0.916679,0.90897,0.927914,0.918109,0.90813,0.921283,0.909678,0.897135,0.914682,0.901263,0.891213,0.913944,0.900327,0.893076,0.787741,0.750491,0.743842,0.598657,0.535124,0.53505,0.488438,0.40873,0.411716,0.483335,0.399259,0.401394,0.925487,0.917866,0.908937,0.926314,0.916616,0.906041,0.92049,0.908607,0.897314,0.917037,0.904857,0.894958,0.902764,0.889384,0.884342,0.762746,0.725942,0.722874,0.57864,0.516065,0.518954,0.474452,0.396713,0.402172,0.47253,0.392194,0.39635,0.859874,0.839817,0.82713,0.847458,0.825841,0.811721,0.829958,0.807141,0.792663,0.826414,0.803786,0.790786,0.810461,0.786995,0.778827,0.685531,0.644908,0.641665,0.540122,0.480026,0.482772,0.450344,0.376022,0.380163,0.452085,0.376303,0.379902,0.752745,0.716638,0.699692,0.759614,0.722229,0.704012,0.770381,0.732874,0.71459,0.775911,0.73896,0.721965,0.75253,0.714804,0.703162,0.645514,0.59635,0.590872,0.536637,0.474587,0.474707,0.472539,0.402417,0.404336,0.443968,0.372859,0.374369,cluster2
0.659555,0.763189,0.572323,0.659558,0.763593,0.571239,0.666973,0.768748,0.579918,0.671864,0.772073,0.586379,0.661833,0.765753,0.574578,0.641745,0.753313,0.549337,0.621242,0.739798,0.523784,0.602319,0.726946,0.500248,0.578072,0.711055,0.469467,0.689263,0.783991,0.609805,0.680456,0.777541,0.59868,0.682826,0.77909,0.600555,0.687548,0.782201,0.606304,0.673942,0.773362,0.590027,0.648077,0.756706,0.558054,0.625926,0.742296,0.530249,0.612656,0.734828,0.5125,0.588016,0.718816,0.48115,0.668338,0.77026,0.583262,0.660098,0.764592,0.572405,0.657518,0.762293,0.569236,0.664396,0.766908,0.576347,0.654699,0.760802,0.565165,0.63431,0.747591,0.540406,0.618726,0.738089,0.520356,0.603565,0.728865,0.500596,0.577992,0.712195,0.468172,0.693959,0.786911,0.616861,0.68448,0.781169,0.604079,0.677876,0.775829,0.596074,0.682858,0.779161,0.600884,0.670101,0.771162,0.58545,0.644279,0.754307,0.553722,0.624803,0.742642,0.52817,0.60598,0.730524,0.50409,0.580231,0.713693,0.47129,0.628088,0.743705,0.532356,0.621206,0.739968,0.522842,0.61695,0.736625,0.517685,0.618826,0.737158,0.519612,0.607166,0.729769,0.505081,0.585583,0.715942,0.478199,0.569925,0.706805,0.457535,0.555573,0.697034,0.439794,0.539988,0.687268,0.419811,0.537511,0.684303,0.41631,0.533967,0.68251,0.411287,0.533445,0.682257,0.410508,0.533252,0.681132,0.410608,0.527303,0.677408,0.403417,0.518015,0.672227,0.391384,0.508516,0.666464,0.379126,0.498971,0.659714,0.36751,0.49285,0.65645,0.35931,0.480575,0.645876,0.345603,0.478112,0.644216,0.342293,0.479975,0.646335,0.344327,0.478298,0.644085,0.342623,0.475008,0.642049,0.339014,0.472923,0.641772,0.335754,0.466659,0.637157,0.328251,0.462325,0.634028,0.322846,0.460498,0.633351,0.320097,0.368607,0.46295,0.309018,0.365967,0.460373,0.305993,0.368563,0.463034,0.309167,0.367529,0.461672,0.308755,0.365868,0.46054,0.307573,0.365469,0.460424,0.306916,0.360929,0.455872,0.302007,0.360399,0.455037,0.301067,0.360286,0.454672,0.299855,0.332416,0.381257,0.325048,0.330041,0.378522,0.322888,0.331458,0.379618,0.325129,0.332235,0.38014,0.326929,0.33112,0.379234,0.326654,0.330021,0.377929,0.325624,0.326556,0.373957,0.322186,0.327097,0.373655,0.322804,0.326688,0.371972,0.320347,cluster2
0.564017,0.43882,0.420377,0.597853,0.482972,0.467005,0.645057,0.53699,0.521849,0.612854,0.501624,0.485503,0.658593,0.530068,0.509976,0.632995,0.504403,0.486732,0.556081,0.445122,0.435025,0.623386,0.516075,0.509957,0.604809,0.493496,0.486232,0.464255,0.368823,0.35734,0.593062,0.502369,0.492462,0.603027,0.516502,0.507015,0.495718,0.408401,0.398692,0.590212,0.478134,0.462239,0.608766,0.494825,0.479553,0.507097,0.417985,0.411925,0.543431,0.462787,0.462196,0.542196,0.459332,0.459529,0.512327,0.428513,0.419677,0.628546,0.555336,0.548977,0.605861,0.533252,0.526867,0.552265,0.467025,0.458943,0.620245,0.510833,0.497245,0.672685,0.556052,0.539997,0.591509,0.502708,0.495695,0.635896,0.564208,0.562467,0.647666,0.578075,0.578639,0.50101,0.422557,0.414359,0.690844,0.623973,0.618132,0.65689,0.585928,0.578816,0.560648,0.481261,0.473428,0.626254,0.5082,0.492875,0.635728,0.507648,0.490994,0.510049,0.41631,0.407794,0.595687,0.522696,0.518601,0.682901,0.616392,0.615077,0.472088,0.390755,0.382224,0.71002,0.642703,0.636813,0.650684,0.57909,0.571982,0.52649,0.446521,0.438325,0.660378,0.538658,0.521892,0.636743,0.504453,0.486786,0.496192,0.395694,0.385084,0.575289,0.495731,0.489135,0.668431,0.600883,0.598686,0.490017,0.408658,0.402567,0.725261,0.656991,0.653819,0.664018,0.592368,0.587098,0.525498,0.445524,0.43875,0.651685,0.535534,0.521265,0.596144,0.475819,0.460912,0.469538,0.381426,0.372309,0.593834,0.514925,0.506753,0.681531,0.609628,0.604232,0.536838,0.457408,0.45302,0.681107,0.61056,0.60755,0.643642,0.570873,0.566533,0.566622,0.489598,0.483289,0.681608,0.580382,0.568732,0.620687,0.514939,0.502578,0.531074,0.450613,0.442385,0.648662,0.575064,0.566795,0.664156,0.59375,0.58619,0.531751,0.451181,0.443502,0.622886,0.544128,0.535117,0.606132,0.536134,0.52689,0.540394,0.470732,0.45974,0.669925,0.585129,0.570612,0.636518,0.549625,0.534209,0.556896,0.488564,0.475984,0.648897,0.581787,0.56941,0.629462,0.554547,0.541136,0.532004,0.440116,0.432849,0.626781,0.532871,0.523554,0.627508,0.543349,0.534491,0.560555,0.483538,0.473304,0.633551,0.549347,0.535407,0.607819,0.523076,0.508613,0.541876,0.466909,0.453809,0.642616,0.563882,0.550131,0.626948,0.540821,0.526744,cluster2
0.441739,0.340335,0.364878,0.420334,0.31459,0.346118,0.418266,0.306769,0.342536,0.419692,0.302375,0.340265,0.422945,0.303839,0.341856,0.432927,0.313068,0.349519,0.432721,0.313748,0.348098,0.431184,0.313588,0.345601,0.428522,0.312152,0.342958,0.466884,0.367814,0.387268,0.433393,0.332274,0.359364,0.411289,0.311792,0.347696,0.397804,0.2998,0.340463,0.390446,0.29277,0.336123,0.399405,0.296711,0.338316,0.402952,0.296314,0.335778,0.409919,0.299715,0.336792,0.413814,0.301409,0.337397,0.507717,0.41011,0.425762,0.468027,0.37344,0.397855,0.426757,0.336551,0.370437,0.391899,0.307003,0.346801,0.370681,0.286617,0.330336,0.359542,0.275485,0.320811,0.360465,0.273759,0.31893,0.366942,0.276349,0.320485,0.380265,0.282389,0.324332,0.546579,0.449772,0.461689,0.489611,0.399807,0.42019,0.434825,0.352449,0.38229,0.383143,0.306998,0.344725,0.351535,0.279047,0.322473,0.329867,0.261168,0.307388,0.317397,0.251655,0.298418,0.3113,0.244099,0.290113,0.326682,0.25174,0.295774,0.538911,0.450553,0.459253,0.491174,0.410013,0.425265,0.435397,0.36075,0.38599,0.382233,0.313473,0.348158,0.337397,0.276566,0.317787,0.305469,0.253314,0.297248,0.283881,0.237571,0.28308,0.269556,0.223557,0.270349,0.286165,0.232686,0.276909,0.495413,0.419874,0.431808,0.453157,0.385092,0.40134,0.404828,0.343042,0.365697,0.361028,0.305028,0.335542,0.320096,0.273671,0.310016,0.286757,0.248933,0.289392,0.264444,0.231891,0.275258,0.24978,0.218813,0.264114,0.262578,0.225048,0.268937,0.440828,0.377429,0.39625,0.404595,0.347543,0.368961,0.369278,0.318261,0.343982,0.335319,0.291423,0.322473,0.301764,0.266833,0.30201,0.271652,0.244568,0.283173,0.252092,0.228732,0.270507,0.236583,0.215153,0.260458,0.247537,0.219288,0.263903,0.384769,0.332579,0.357507,0.362671,0.31486,0.341634,0.33782,0.296689,0.325906,0.310305,0.276723,0.309958,0.281426,0.25446,0.291501,0.25881,0.236368,0.277641,0.244336,0.224424,0.268589,0.232764,0.214528,0.261925,0.236299,0.214916,0.26079,0.347425,0.305561,0.334774,0.32821,0.291206,0.324331,0.307994,0.277583,0.313899,0.286342,0.261536,0.301476,0.26689,0.244794,0.286338,0.250572,0.230543,0.27493,0.239364,0.221116,0.267736,0.230008,0.212578,0.26229,0.228037,0.208883,0.259064,cluster3
0.517838,0.421343,0.415586,0.475629,0.376618,0.378899,0.45241,0.350576,0.359298,0.440262,0.33473,0.350085,0.441808,0.328092,0.348565,0.427332,0.312656,0.341747,0.408774,0.297828,0.333272,0.404266,0.297135,0.332635,0.341468,0.252379,0.281492,0.533992,0.435388,0.423094,0.489235,0.388329,0.384177,0.464632,0.36274,0.366328,0.450076,0.347175,0.358595,0.440477,0.33503,0.354459,0.424244,0.318156,0.345512,0.397083,0.293828,0.331256,0.391257,0.289444,0.326485,0.318631,0.23698,0.266676,0.556409,0.456964,0.444171,0.524646,0.422398,0.415333,0.504195,0.401885,0.399955,0.474858,0.375585,0.381632,0.452155,0.352634,0.367041,0.42406,0.327565,0.351325,0.377415,0.286821,0.326507,0.365327,0.276865,0.317718,0.283353,0.216386,0.249625,0.576948,0.475873,0.463099,0.545548,0.443749,0.435001,0.528819,0.428231,0.423199,0.49134,0.395924,0.39786,0.456831,0.364087,0.374675,0.420495,0.330789,0.352211,0.362395,0.279757,0.320247,0.343541,0.265576,0.308277,0.246492,0.194081,0.228014,0.581064,0.481786,0.467873,0.556752,0.457706,0.44689,0.539556,0.441655,0.434041,0.502672,0.410154,0.409036,0.462806,0.374633,0.381247,0.417454,0.333667,0.352008,0.348139,0.274325,0.313862,0.325692,0.257228,0.299786,0.220097,0.179729,0.213861,0.567663,0.47258,0.459191,0.542927,0.449586,0.439059,0.51916,0.42924,0.421787,0.488055,0.403106,0.400058,0.453571,0.372868,0.375707,0.406863,0.331335,0.346905,0.335635,0.269718,0.3083,0.315405,0.254255,0.296348,0.206535,0.175859,0.209892,0.542079,0.452392,0.443551,0.512667,0.426025,0.420533,0.489367,0.405909,0.402312,0.462227,0.383618,0.38251,0.433134,0.359365,0.362223,0.38625,0.320024,0.335552,0.322395,0.264369,0.301919,0.307408,0.253554,0.2942,0.197626,0.17401,0.206543,0.494725,0.413325,0.409896,0.471993,0.392341,0.392386,0.454687,0.377369,0.378911,0.433311,0.360629,0.363901,0.406404,0.339713,0.346506,0.363613,0.304478,0.323502,0.308672,0.256825,0.295334,0.298365,0.249543,0.290919,0.198714,0.177722,0.210446,0.444793,0.37456,0.375512,0.425283,0.355885,0.358452,0.410007,0.342367,0.346317,0.393145,0.329459,0.336861,0.368415,0.310517,0.323229,0.337761,0.285113,0.308433,0.296716,0.249276,0.288524,0.292134,0.245636,0.288228,0.211343,0.186465,0.221388,cluster3
0.773698,0.729278,0.714318,0.580868,0.522905,0.511825,0.47269,0.414993,0.416045,0.449967,0.387126,0.396024,0.37993,0.314842,0.323152,0.403274,0.334177,0.346591,0.397045,0.328051,0.344914,0.398677,0.331192,0.355685,0.382333,0.320273,0.348065,0.784515,0.745865,0.735606,0.573027,0.516367,0.507707,0.459839,0.401743,0.402893,0.435097,0.372925,0.376579,0.401925,0.339814,0.342195,0.427721,0.363784,0.371071,0.384114,0.322086,0.335388,0.379891,0.317176,0.341252,0.399529,0.339346,0.367649,0.806179,0.773968,0.766284,0.585482,0.529268,0.522047,0.488897,0.43134,0.432686,0.47346,0.413156,0.415328,0.46834,0.408922,0.408937,0.445193,0.386232,0.387816,0.371276,0.314077,0.324511,0.371402,0.315454,0.339368,0.422651,0.368368,0.39719,0.841423,0.815341,0.808465,0.560334,0.50627,0.501287,0.485095,0.429059,0.432593,0.49178,0.433687,0.438287,0.465729,0.408539,0.412019,0.418656,0.361213,0.366157,0.346674,0.292585,0.30128,0.388023,0.336095,0.361334,0.402374,0.351409,0.380864,0.856091,0.835477,0.830343,0.500296,0.448143,0.445757,0.414424,0.359484,0.365747,0.417741,0.361679,0.368619,0.427762,0.372222,0.378323,0.411441,0.355822,0.363011,0.344518,0.292514,0.298588,0.405519,0.356956,0.382583,0.386992,0.341393,0.371522,0.8533,0.832411,0.828823,0.525869,0.47547,0.474507,0.450706,0.398019,0.405559,0.443107,0.390604,0.39913,0.437034,0.384422,0.392237,0.42666,0.374671,0.382083,0.35941,0.310979,0.317241,0.412761,0.368255,0.392531,0.394543,0.351824,0.379365,0.80936,0.784835,0.779926,0.502336,0.453191,0.454053,0.407241,0.355052,0.359155,0.410742,0.361604,0.368499,0.398518,0.349434,0.352404,0.404851,0.356844,0.360605,0.34768,0.304379,0.314506,0.368238,0.327811,0.350248,0.408136,0.368367,0.392423,0.796767,0.769128,0.765159,0.542409,0.494968,0.49742,0.476583,0.425571,0.43184,0.472265,0.424365,0.433437,0.431123,0.384816,0.389472,0.408535,0.364259,0.369395,0.364131,0.325421,0.339158,0.348888,0.311901,0.335232,0.405909,0.368949,0.393492,0.623215,0.59413,0.591997,0.390575,0.346793,0.351871,0.392339,0.344897,0.354169,0.373517,0.328846,0.339729,0.360751,0.31741,0.328176,0.35177,0.31136,0.322141,0.322974,0.287866,0.304436,0.317925,0.284227,0.307237,0.298185,0.263406,0.288456,cluster3
0.489271,0.456761,0.465127,0.479676,0.447842,0.449533,0.290335,0.261404,0.268977,0.276098,0.248972,0.266736,0.260727,0.233701,0.25455,0.246762,0.217498,0.236678,0.294656,0.255133,0.280797,0.340598,0.295305,0.322778,0.384254,0.341301,0.370379,0.639275,0.61176,0.61469,0.790719,0.76498,0.764924,0.679577,0.654757,0.660052,0.635464,0.610692,0.623515,0.604995,0.579725,0.596265,0.509773,0.483198,0.498588,0.315399,0.286127,0.304477,0.293751,0.25971,0.2858,0.366407,0.328758,0.357605,0.677281,0.650307,0.653348,0.731209,0.703305,0.704002,0.428861,0.398534,0.407549,0.339593,0.307948,0.322919,0.437717,0.407023,0.423236,0.543786,0.516408,0.529879,0.457207,0.429285,0.445433,0.288564,0.258959,0.28109,0.361839,0.33191,0.362965,0.718733,0.691272,0.694517,0.695726,0.667243,0.669027,0.349675,0.3159,0.324742,0.401935,0.357068,0.379511,0.35433,0.315047,0.333501,0.442226,0.411819,0.429732,0.529983,0.501834,0.519649,0.312867,0.285653,0.304717,0.381221,0.355516,0.385198,0.715485,0.686635,0.691343,0.741238,0.712229,0.713767,0.359135,0.329405,0.339324,0.369574,0.330652,0.346922,0.356581,0.319224,0.338116,0.377313,0.345456,0.363188,0.433161,0.404531,0.422614,0.344619,0.31675,0.336328,0.425646,0.40072,0.428889,0.605923,0.577517,0.584966,0.748899,0.720766,0.722179,0.558518,0.529547,0.538186,0.479878,0.449982,0.461409,0.46459,0.433525,0.448253,0.473329,0.44407,0.457289,0.417595,0.39054,0.40723,0.31753,0.289261,0.312071,0.418889,0.394913,0.423029,0.565533,0.538551,0.549886,0.688501,0.663089,0.66757,0.631271,0.607179,0.618434,0.631944,0.606185,0.618836,0.658251,0.632402,0.646269,0.572783,0.544969,0.557391,0.38216,0.352501,0.365352,0.292927,0.267243,0.290887,0.379582,0.359513,0.389427,0.51358,0.489305,0.501672,0.557471,0.535026,0.54411,0.355484,0.3306,0.345956,0.314996,0.287197,0.302598,0.431555,0.405216,0.421616,0.481836,0.455369,0.469805,0.407063,0.37605,0.387565,0.29383,0.266228,0.285233,0.358831,0.339211,0.368601,0.605898,0.584134,0.598559,0.550323,0.530396,0.542637,0.351945,0.329426,0.351464,0.387613,0.354925,0.379929,0.392429,0.362103,0.381084,0.48993,0.458631,0.474186,0.469959,0.438292,0.451945,0.300257,0.274048,0.291494,0.374934,0.356626,0.384017,cluster3
0.826409,0.764353,0.740334,0.830885,0.774413,0.751479,0.645644,0.573898,0.556458,0.543631,0.472112,0.465579,0.516088,0.440837,0.440461,0.51089,0.431942,0.43605,0.457624,0.375138,0.384858,0.350675,0.268294,0.287104,0.378897,0.302017,0.329169,0.847766,0.79078,0.768442,0.828639,0.77729,0.757646,0.560682,0.488594,0.475059,0.495475,0.41734,0.418461,0.444684,0.367185,0.371133,0.456428,0.377754,0.384073,0.461464,0.382409,0.394168,0.352354,0.275314,0.291369,0.396479,0.325289,0.354499,0.832813,0.780805,0.761547,0.804488,0.75663,0.741686,0.514319,0.441278,0.43083,0.463975,0.38531,0.388045,0.410972,0.333948,0.337467,0.437373,0.361342,0.366678,0.459564,0.385343,0.395197,0.341234,0.270049,0.283514,0.385692,0.319334,0.349725,0.812088,0.766535,0.751414,0.807132,0.764028,0.751932,0.545258,0.474473,0.46467,0.463036,0.392883,0.392693,0.46378,0.391742,0.391871,0.518902,0.447294,0.44697,0.454468,0.384884,0.38893,0.323554,0.255511,0.266621,0.346516,0.284652,0.31413,0.870553,0.829959,0.814308,0.883549,0.844929,0.83379,0.633005,0.564707,0.555985,0.557648,0.490076,0.489501,0.572807,0.503419,0.503361,0.547612,0.477235,0.477443,0.395296,0.32687,0.329091,0.32922,0.265539,0.276649,0.344856,0.287492,0.316797,0.870838,0.830788,0.816857,0.82636,0.787105,0.777713,0.488158,0.418262,0.41259,0.44064,0.372062,0.375407,0.487325,0.417625,0.421053,0.435266,0.36538,0.370095,0.357838,0.288488,0.293686,0.353189,0.28993,0.303359,0.361123,0.306726,0.335944,0.839215,0.794425,0.778897,0.775603,0.730234,0.721401,0.437303,0.368435,0.36589,0.448483,0.37577,0.383251,0.487043,0.412757,0.41918,0.466632,0.391731,0.399674,0.382894,0.311428,0.317876,0.357421,0.297936,0.310401,0.381236,0.330177,0.357036,0.786543,0.738034,0.721249,0.724859,0.675729,0.665579,0.421903,0.355649,0.352404,0.429372,0.360945,0.365312,0.438124,0.367014,0.368906,0.477679,0.405329,0.40797,0.381318,0.313033,0.316597,0.323647,0.267049,0.27813,0.395215,0.346373,0.36724,0.79894,0.7471,0.730621,0.758412,0.7053,0.695956,0.524977,0.460028,0.458539,0.523819,0.457593,0.46231,0.494967,0.426008,0.426204,0.487101,0.41904,0.418257,0.435945,0.37174,0.376418,0.33842,0.282776,0.29779,0.416147,0.36999,0.389921,cluster3
0.681682,0.571285,0.547769,0.75911,0.628141,0.596588,0.705191,0.573447,0.547871,0.587892,0.47497,0.454146,0.581388,0.491455,0.479128,0.639558,0.566497,0.556693,0.725149,0.654804,0.643796,0.460363,0.377509,0.365678,0.337671,0.264014,0.258269,0.656084,0.561429,0.542351,0.671399,0.556126,0.529957,0.644623,0.517621,0.493715,0.568221,0.456134,0.436386,0.553949,0.469101,0.458802,0.611933,0.547949,0.539354,0.74361,0.684572,0.675942,0.409058,0.334553,0.324224,0.275902,0.212956,0.209193,0.658661,0.57515,0.559316,0.672028,0.567765,0.545365,0.683998,0.56187,0.539567,0.643774,0.534622,0.51526,0.593996,0.514241,0.504942,0.644858,0.587307,0.579075,0.759536,0.707013,0.698755,0.383994,0.318239,0.309712,0.273177,0.216052,0.213207,0.69675,0.618219,0.603133,0.666366,0.571206,0.55068,0.686015,0.562939,0.539848,0.652727,0.539646,0.520228,0.554617,0.477856,0.468375,0.662466,0.608437,0.599345,0.761546,0.714804,0.707319,0.337434,0.275354,0.268177,0.226002,0.176101,0.175699,0.723793,0.647446,0.632462,0.660514,0.573802,0.556134,0.686231,0.563683,0.540333,0.674533,0.552465,0.531312,0.50511,0.427466,0.417284,0.671124,0.618724,0.60956,0.770991,0.72638,0.719217,0.306898,0.250164,0.24492,0.226071,0.178051,0.179753,0.718933,0.642636,0.627834,0.684852,0.604263,0.588104,0.680433,0.565882,0.544319,0.636288,0.517369,0.497575,0.473379,0.394302,0.382986,0.655265,0.604184,0.594793,0.772798,0.729343,0.722481,0.317265,0.262023,0.257373,0.216055,0.169677,0.171924,0.674021,0.595518,0.580209,0.730033,0.652513,0.638511,0.719565,0.612712,0.593216,0.629637,0.514678,0.495468,0.502221,0.420149,0.40804,0.630039,0.578397,0.568171,0.752636,0.710109,0.703806,0.380366,0.320514,0.315292,0.236675,0.190545,0.193975,0.626551,0.535026,0.517581,0.660102,0.579657,0.565967,0.682136,0.580652,0.563166,0.612967,0.50135,0.483776,0.506066,0.419096,0.406232,0.579153,0.520316,0.509337,0.659239,0.60714,0.600025,0.386595,0.320295,0.315482,0.283484,0.227367,0.2295,0.648727,0.527677,0.504526,0.676608,0.570132,0.551539,0.678308,0.566389,0.548708,0.570473,0.455002,0.439179,0.537569,0.438338,0.423942,0.592425,0.516042,0.504904,0.632545,0.563128,0.555647,0.434058,0.353735,0.347966,0.363183,0.292772,0.292347,cluster2
