r0,g0,b0,cluster
0.335649,0.171248,0.227472,cluster2
0.321228,0.206915,0.252317,cluster2
0.295132,0.209876,0.268916,cluster2
0.293154,0.23153,0.260321,cluster2
0.291133,0.259523,0.24621,cluster2
0.325375,0.263288,0.247343,cluster2
0.314619,0.234486,0.281939,cluster2
0.352418,0.230458,0.27825,cluster2
0.377502,0.187311,0.246773,cluster2
0.424303,0.224853,0.287575,cluster1
0.430714,0.252394,0.290679,cluster1
0.442064,0.25974,0.326695,cluster1
0.481838,0.292756,0.304781,cluster1
0.526929,0.259949,0.322419,cluster1
0.527185,0.314977,0.31814,cluster1
0.476742,0.245985,0.318043,cluster1
0.484829,0.350845,0.355835,cluster1
0.488186,0.302653,0.355794,cluster1
0.503636,0.332985,0.345452,cluster1
0.556233,0.32919,0.324082,cluster1
0.291924,0.165751,0.217936,cluster2
0.28646,0.19399,0.245989,cluster2
0.267519,0.215737,0.256717,cluster2
0.276947,0.239589,0.243739,cluster2
0.277149,0.25883,0.256119,cluster2
0.282882,0.263133,0.269168,cluster2
0.307511,0.256968,0.277455,cluster2
0.341468,0.258142,0.297141,cluster2
0.349988,0.28031,0.315609,cluster1
0.365791,0.289826,0.329143,cluster1
0.388399,0.282925,0.321218,cluster1
0.411118,0.299394,0.326403,cluster1
0.449318,0.292751,0.318718,cluster1
0.472106,0.285389,0.344125,cluster1
0.456578,0.327976,0.348344,cluster1
0.46615,0.350378,0.366571,cluster1
0.487179,0.369995,0.382939,cluster1
0.50785,0.346206,0.375933,cluster1
0.554853,0.310674,0.363585,cluster1
0.541063,0.289756,0.341438,cluster1
0.258612,0.174418,0.230699,cluster2
0.25015,0.203393,0.238837,cluster2
0.258164,0.22919,0.232143,cluster2
0.255371,0.24027,0.25131,cluster2
0.259409,0.256502,0.261615,cluster2
0.292222,0.27819,0.260079,cluster2
0.308198,0.287896,0.271863,cluster2
0.334277,0.274013,0.272393,cluster2
0.374895,0.263579,0.300366,cluster1
0.35401,0.310628,0.323916,cluster1
0.366619,0.319248,0.314097,cluster1
0.38953,0.302262,0.338833,cluster1
0.429188,0.313063,0.33529,cluster1
0.419166,0.317893,0.354489,cluster1
0.41907,0.342826,0.385066,cluster1
0.442613,0.358342,0.408302,cluster1
0.496722,0.356067,0.400211,cluster1
0.506939,0.397616,0.351532,cluster1
0.5361,0.360415,0.369763,cluster1
0.615604,0.337522,0.352917,cluster1
0.255682,0.156231,0.214522,cluster2
0.241341,0.221674,0.227145,cluster2
0.260664,0.253517,0.205561,cluster2
0.246248,0.239156,0.243885,cluster2
0.267617,0.258649,0.238414,cluster2
0.285881,0.28003,0.223424,cluster2
0.311069,0.298848,0.240414,cluster2
0.331682,0.300092,0.264175,cluster2
0.365274,0.290036,0.27489,cluster1
0.375846,0.311145,0.288653,cluster1
0.378805,0.330042,0.315918,cluster1
0.392391,0.347501,0.308952,cluster1
0.427613,0.345428,0.318633,cluster1
0.427668,0.3477,0.349532,cluster1
0.438348,0.341808,0.369896,cluster1
0.466474,0.380173,0.396237,cluster1
0.505673,0.385457,0.395831,cluster1
0.519151,0.37284,0.389642,cluster1
0.545896,0.38225,0.395174,cluster1
0.657625,0.360491,0.402689,cluster1
0.226293,0.214381,0.219509,cluster2
0.223481,0.214571,0.234089,cluster2
0.226726,0.236191,0.226696,cluster2
0.232478,0.247955,0.23344,cluster2
0.237991,0.275667,0.23064,cluster2
0.257268,0.294739,0.24454,cluster2
0.259965,0.328464,0.258297,cluster2
0.301184,0.327608,0.275497,cluster2
0.32669,0.302722,0.285061,cluster2
0.348343,0.330923,0.290941,cluster1
0.306758,0.412757,0.308486,cluster1
0.395401,0.336216,0.329226,cluster1
0.411685,0.367819,0.335045,cluster1
0.452766,0.36861,0.333655,cluster1
0.459963,0.385938,0.359865,cluster1
0.478148,0.398695,0.411308,cluster1
0.517781,0.388572,0.425937,cluster1
0.533085,0.395447,0.399916,cluster1
0.584008,0.368544,0.392021,cluster1
0.667407,0.345143,0.320692,cluster1
0.210148,0.203555,0.214257,cluster2
0.213105,0.229241,0.22728,cluster2
0.203273,0.262696,0.213168,cluster2
0.217175,0.26661,0.222169,cluster2
0.245419,0.258181,0.244873,cluster2
0.256758,0.276481,0.254908,cluster2
0.26882,0.282035,0.28863,cluster2
0.295324,0.293602,0.288271,cluster2
0.316231,0.30383,0.307075,cluster2
0.349263,0.31787,0.303431,cluster1
0.362518,0.334477,0.328704,cluster1
0.386549,0.347878,0.345632,cluster1
0.414495,0.358659,0.349816,cluster1
0.438878,0.378376,0.363879,cluster1
0.473267,0.400038,0.379198,cluster1
0.510949,0.428897,0.413053,cluster1
0.540349,0.398256,0.422554,cluster1
0.561445,0.402754,0.408705,cluster1
0.604913,0.391795,0.405648,cluster1
0.688206,0.368833,0.34437,cluster1
0.186952,0.234303,0.201101,cluster2
0.206125,0.235739,0.207971,cluster2
0.192263,0.242214,0.216936,cluster2
0.208968,0.242498,0.235593,cluster2
0.223592,0.236582,0.258659,cluster2
0.243837,0.252835,0.275582,cluster2
0.269838,0.265156,0.293294,cluster2
0.297028,0.272509,0.291389,cluster2
0.323368,0.280284,0.294199,cluster2
0.34308,0.2992,0.310325,cluster1
0.380007,0.320696,0.349029,cluster1
0.399828,0.332986,0.357654,cluster1
0.414279,0.372633,0.36943,cluster1
0.443833,0.371552,0.383716,cluster1
0.491556,0.418521,0.393033,cluster1
0.526342,0.426548,0.385205,cluster1
0.557766,0.445712,0.39639,cluster1
0.584826,0.423464,0.428316,cluster1
0.614684,0.420707,0.417016,cluster1
0.74167,0.456791,0.408774,cluster3
0.189436,0.207335,0.1927,cluster2
0.169291,0.223072,0.191837,cluster2
0.185185,0.219703,0.21163,cluster2
0.194308,0.216916,0.22328,cluster2
0.197593,0.212582,0.260612,cluster2
0.241188,0.237681,0.261213,cluster2
0.265168,0.25657,0.277791,cluster2
0.287223,0.275036,0.286763,cluster2
0.306763,0.287857,0.300754,cluster2
0.324258,0.31253,0.327802,cluster2
0.357787,0.345384,0.360029,cluster1
0.382622,0.331846,0.374506,cluster1
0.406292,0.357622,0.375232,cluster1
0.452025,0.396653,0.388356,cluster1
0.476571,0.420343,0.423106,cluster1
0.525787,0.444218,0.416351,cluster1
0.583703,0.470652,0.419536,cluster1
0.608246,0.445266,0.441986,cluster1
0.632283,0.443831,0.429464,cluster3
0.672872,0.478611,0.455847,cluster3
0.167352,0.203977,0.195491,cluster2
0.171233,0.21609,0.204592,cluster2
0.177403,0.207022,0.223046,cluster2
0.175409,0.211478,0.24465,cluster2
0.2105,0.209632,0.247115,cluster2
0.234424,0.223991,0.247013,cluster2
0.261222,0.241291,0.266487,cluster2
0.287861,0.257598,0.292542,cluster2
0.320921,0.281881,0.314724,cluster2
0.314165,0.295833,0.32292,cluster2
0.357859,0.301784,0.342357,cluster1
0.387511,0.356262,0.364849,cluster1
0.416952,0.379679,0.396094,cluster1
0.450546,0.409269,0.41717,cluster1
0.536384,0.422872,0.438438,cluster1
0.564874,0.426909,0.429317,cluster1
0.588976,0.459275,0.460331,cluster1
0.638204,0.46097,0.450271,cluster3
0.671338,0.448361,0.426073,cluster3
0.717996,0.495411,0.46134,cluster3
0.154267,0.201574,0.159385,cluster2
0.158782,0.203529,0.204369,cluster2
0.162681,0.190617,0.225514,cluster2
0.179936,0.180412,0.234005,cluster2
0.199724,0.197473,0.235477,cluster2
0.220234,0.190227,0.260422,cluster2
0.272927,0.223665,0.276421,cluster2
0.291839,0.238334,0.284018,cluster2
0.317007,0.258455,0.297319,cluster2
0.332956,0.288416,0.33406,cluster2
0.329899,0.327857,0.349534,cluster1
0.38059,0.375685,0.386281,cluster1
0.419738,0.543673,0.374288,cluster1
0.478484,0.397162,0.445965,cluster1
0.542365,0.458492,0.427518,cluster1
0.572403,0.443765,0.452185,cluster1
0.60498,0.472333,0.461091,cluster3
0.635568,0.499401,0.45332,cluster3
0.693296,0.474605,0.440195,cluster3
0.701829,0.516697,0.48208,cluster3
0.140051,0.186029,0.196024,cluster2
0.154898,0.185728,0.209305,cluster2
0.173385,0.17295,0.211151,cluster2
0.192263,0.185462,0.21609,cluster2
0.223825,0.191011,0.224945,cluster2
0.260992,0.193468,0.257773,cluster2
0.263925,0.236195,0.287291,cluster2
0.291098,0.244938,0.301212,cluster2
0.304018,0.273797,0.327269,cluster2
0.325076,0.301005,0.352103,cluster2
0.354294,0.306714,0.359459,cluster1
0.391987,0.362001,0.401806,cluster1
0.415969,0.398244,0.414946,cluster1
0.499063,0.412611,0.443528,cluster1
0.54147,0.44595,0.455556,cluster1
0.558211,0.47799,0.450439,cluster1
0.619012,0.482431,0.478166,cluster3
0.650001,0.498978,0.487747,cluster3
0.688731,0.497753,0.480663,cluster3
0.806004,0.519423,0.457648,cluster3
0.149201,0.184975,0.178557,cluster2
0.156552,0.195468,0.190942,cluster2
0.17986,0.177185,0.193412,cluster2
0.194515,0.146326,0.189292,cluster2
0.22461,0.159914,0.224163,cluster2
0.239301,0.181675,0.246598,cluster2
0.252214,0.222246,0.278961,cluster2
0.265729,0.240978,0.307588,cluster2
0.283841,0.262923,0.317076,cluster2
0.303346,0.307023,0.351059,cluster2
0.360896,0.354323,0.39078,cluster1
0.392059,0.382086,0.425295,cluster1
0.446402,0.382244,0.427501,cluster1
0.486336,0.439686,0.447174,cluster1
0.546791,0.466015,0.469389,cluster1
0.586317,0.483179,0.481915,cluster3
0.61952,0.506052,0.493398,cluster3
0.677598,0.526809,0.505105,cluster3
0.737851,0.524251,0.491922,cluster3
0.752995,0.565646,0.514,cluster3
0.153483,0.141833,0.16807,cluster2
0.138321,0.16892,0.175254,cluster2
0.159099,0.158729,0.186868,cluster2
0.163312,0.159187,0.202241,cluster2
0.191141,0.16321,0.223015,cluster2
0.208149,0.177193,0.249865,cluster2
0.234502,0.212457,0.267087,cluster2
0.249038,0.255165,0.308558,cluster2
0.290173,0.288115,0.317304,cluster2
0.317884,0.322287,0.379162,cluster2
0.363738,0.363117,0.417299,cluster1
0.432633,0.413289,0.440016,cluster1
0.450827,0.429267,0.450301,cluster1
0.4835,0.456191,0.483709,cluster1
0.509119,0.464682,0.468603,cluster1
0.558576,0.496064,0.482329,cluster1
0.64049,0.535528,0.515512,cluster3
0.702354,0.547879,0.523572,cluster3
0.741662,0.560167,0.555697,cluster3
0.81988,0.561842,0.501904,cluster3
0.119039,0.159905,0.179338,cluster2
0.133795,0.166384,0.154583,cluster2
0.128926,0.170242,0.187388,cluster2
0.14642,0.168926,0.205583,cluster2
0.173293,0.154877,0.224855,cluster2
0.196244,0.17698,0.237598,cluster2
0.210549,0.200037,0.27221,cluster2
0.238648,0.235979,0.289404,cluster2
0.281579,0.288432,0.347583,cluster2
0.348691,0.331605,0.381726,cluster1
0.410106,0.395331,0.445211,cluster1
0.427841,0.414111,0.462843,cluster1
0.464744,0.444059,0.471224,cluster1
0.503739,0.423467,0.473148,cluster1
0.52824,0.476835,0.495487,cluster1
0.577918,0.501745,0.504987,cluster3
0.613759,0.511501,0.529206,cluster3
0.686417,0.574485,0.551509,cluster3
0.886951,0.540856,0.435745,cluster3
0.786323,0.58372,0.538479,cluster3
0.116709,0.12407,0.137185,cluster2
0.108363,0.147964,0.168163,cluster2
0.135913,0.15365,0.188448,cluster2
0.137935,0.15502,0.203271,cluster2
0.156527,0.153546,0.220145,cluster2
0.164418,0.172185,0.230208,cluster2
0.188767,0.184235,0.255277,cluster2
0.222654,0.220074,0.285126,cluster2
0.260826,0.273816,0.335965,cluster2
0.346603,0.351575,0.415741,cluster1
0.397814,0.403466,0.462895,cluster1
0.446815,0.431558,0.475052,cluster1
0.465647,0.457864,0.507601,cluster1
0.515665,0.440303,0.489119,cluster1
0.501463,0.477961,0.505817,cluster1
0.585428,0.530881,0.540605,cluster3
0.639281,0.555292,0.550883,cluster3
0.71739,0.607926,0.581081,cluster3
0.81196,0.621213,0.574763,cluster3
0.837228,0.585988,0.56105,cluster3
0.101971,0.135001,0.167871,cluster2
0.132546,0.125349,0.161403,cluster2
0.123537,0.142399,0.176048,cluster2
0.132769,0.126926,0.196965,cluster2
0.146788,0.141311,0.203278,cluster2
0.148545,0.17133,0.224648,cluster2
0.171921,0.19308,0.264934,cluster2
0.208192,0.22525,0.296217,cluster2
0.263289,0.288292,0.368392,cluster2
0.322605,0.332915,0.397677,cluster1
0.387198,0.388667,0.449802,cluster1
0.452755,0.448237,0.491032,cluster1
0.480291,0.468241,0.500685,cluster1
0.519884,0.495117,0.519028,cluster1
0.540316,0.500671,0.520023,cluster1
0.578313,0.555956,0.575471,cluster3
0.629077,0.577961,0.582382,cluster3
0.793569,0.599843,0.560867,cluster3
0.831542,0.640284,0.591943,cluster3
0.850449,0.667156,0.613794,cluster3
0.094958,0.125617,0.162875,cluster2
0.112484,0.110039,0.160708,cluster2
0.121078,0.118659,0.186669,cluster2
0.127026,0.142924,0.19259,cluster2
0.125984,0.133378,0.211799,cluster2
0.131594,0.15984,0.223975,cluster2
0.163047,0.177273,0.253487,cluster2
0.182005,0.214252,0.311073,cluster2
0.236229,0.252489,0.33262,cluster2
0.289846,0.305076,0.374772,cluster2
0.375633,0.37504,0.436388,cluster1
0.431029,0.434928,0.491305,cluster1
0.487117,0.483667,0.529297,cluster1
0.538194,0.504418,0.534119,cluster1
0.555806,0.514046,0.540776,cluster3
0.601277,0.589331,0.608713,cluster3
0.648334,0.614879,0.618798,cluster3
0.74578,0.661104,0.620032,cluster3
0.817129,0.656236,0.625392,cluster3
0.875954,0.693803,0.641459,cluster3
0.089879,0.092364,0.103605,cluster2
0.095885,0.107168,0.171029,cluster2
0.110255,0.1255,0.177149,cluster2
0.11016,0.136256,0.190982,cluster2
0.121042,0.14771,0.204796,cluster2
0.129776,0.143975,0.221096,cluster2
0.147951,0.172285,0.241122,cluster2
0.188845,0.207842,0.284812,cluster2
0.223968,0.239652,0.311521,cluster2
0.23838,0.301845,0.411143,cluster2
0.346933,0.369737,0.442661,cluster1
0.410875,0.417095,0.480326,cluster1
0.474767,0.470272,0.523878,cluster1
0.497324,0.495396,0.547915,cluster1
0.547149,0.53517,0.563226,cluster3
0.547688,0.77359,0.548602,cluster3
0.71775,0.651929,0.649588,cluster3
0.753239,0.711419,0.716479,cluster3
0.789715,0.708515,0.679117,cluster3
0.8551,0.749604,0.713874,cluster3
0.096271,0.103533,0.141286,cluster2
0.094723,0.110034,0.162093,cluster2
0.095401,0.123391,0.175957,cluster2
0.098244,0.140716,0.18614,cluster2
0.1117,0.135594,0.204063,cluster2
0.109689,0.139795,0.225796,cluster2
0.125307,0.158165,0.2549,cluster2
0.162816,0.196674,0.291302,cluster2
0.20317,0.234841,0.329306,cluster2
0.293023,0.325173,0.408163,cluster2
0.319427,0.365536,0.457988,cluster1
0.388272,0.42966,0.502407,cluster1
0.487774,0.694699,0.266214,cluster3
0.51597,0.515865,0.566347,cluster1
0.533684,0.552165,0.618559,cluster3
0.58133,0.613906,0.668664,cluster3
0.679259,0.670713,0.689755,cluster3
0.613734,0.87348,0.613742,cluster3
0.880518,0.858402,0.849647,cluster3
0.968145,0.949926,0.929353,cluster3
0.045423,0.050405,0.050051,cluster2
0.106242,0.111727,0.173203,cluster2
0.095208,0.110822,0.191684,cluster2
0.098991,0.123873,0.194087,cluster2
0.103843,0.124929,0.210721,cluster2
0.11553,0.150406,0.243611,cluster2
0.134684,0.171314,0.263527,cluster2
0.148175,0.181316,0.272697,cluster2
0.237945,0.263285,0.352081,cluster2
0.321602,0.344995,0.422811,cluster1
0.352568,0.394609,0.478042,cluster1
0.378612,0.435175,0.534984,cluster1
0.426097,0.473816,0.553123,cluster1
0.472311,0.517286,0.613441,cluster1
0.527136,0.581361,0.666671,cluster3
0.554703,0.621006,0.749206,cluster3
0.578639,0.649052,0.784202,cluster3
0.692495,0.723293,0.798152,cluster3
0.669039,0.740058,0.875792,cluster3
0.805192,0.783306,0.786199,cluster3
