r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r11,g11,b11,r12,g12,b12,r13,g13,b13,r14,g14,b14,r15,g15,b15,r16,g16,b16,r17,g17,b17,r18,g18,b18,r19,g19,b19,r20,g20,b20,r21,g21,b21,r22,g22,b22,r23,g23,b23,r24,g24,b24,cluster
0.368193,0.331076,0.32592,0.327311,0.298293,0.291375,0.377147,0.348952,0.338338,0.385042,0.351789,0.341078,0.415817,0.378001,0.365764,0.44405,0.407296,0.393775,0.573782,0.525371,0.506208,0.697041,0.640376,0.617098,0.618647,0.556819,0.530657,0.667684,0.596219,0.56826,0.454851,0.401463,0.384175,0.658349,0.595947,0.578066,0.810075,0.739163,0.721135,0.683849,0.604859,0.584577,0.639563,0.553688,0.529932,0.508968,0.444805,0.426534,0.656842,0.583874,0.565212,0.799281,0.723367,0.701042,0.714684,0.638369,0.608207,0.6272,0.54063,0.503328,0.515371,0.441562,0.420678,0.664852,0.584628,0.56304,0.796534,0.716265,0.693241,0.743754,0.662423,0.635002,0.667138,0.580051,0.546962,cluster4
0.32988,0.270725,0.270554,0.298743,0.249048,0.251251,0.30798,0.256794,0.257635,0.35031,0.289508,0.285418,0.365736,0.304456,0.299188,0.662738,0.592386,0.57352,0.725307,0.658378,0.636281,0.733605,0.664271,0.638658,0.775303,0.699208,0.669604,0.76485,0.692064,0.661121,0.807225,0.732588,0.711796,0.821319,0.745866,0.725564,0.722155,0.640854,0.619175,0.665918,0.583765,0.561751,0.703397,0.626799,0.60491,0.795926,0.725329,0.719044,0.730342,0.654661,0.646405,0.639636,0.553934,0.540571,0.607395,0.505671,0.490456,0.566552,0.469253,0.458319,0.733276,0.648493,0.642366,0.662418,0.572328,0.565008,0.609716,0.505883,0.492509,0.619499,0.497387,0.479087,0.552152,0.44148,0.426589,cluster4
0.185861,0.158555,0.173681,0.18897,0.162127,0.177831,0.244152,0.205831,0.220865,0.318018,0.257051,0.268311,0.373041,0.298539,0.305127,0.662931,0.606424,0.615305,0.626112,0.567328,0.575879,0.575633,0.511494,0.521121,0.499893,0.433584,0.443555,0.519131,0.4392,0.446323,0.571017,0.499924,0.505039,0.614717,0.544934,0.550439,0.672026,0.605963,0.613543,0.629205,0.565369,0.574561,0.551148,0.478708,0.485517,0.602223,0.50808,0.506927,0.577698,0.491883,0.49041,0.607115,0.53399,0.535704,0.657113,0.591614,0.597524,0.565392,0.501079,0.508039,0.592373,0.494572,0.492762,0.533677,0.446867,0.445396,0.542825,0.472493,0.475769,0.620909,0.556888,0.564288,0.515796,0.452205,0.462145,cluster2
0.357519,0.274743,0.288899,0.376974,0.288309,0.298795,0.392104,0.298799,0.306961,0.38778,0.295332,0.30343,0.394643,0.30008,0.307685,0.545902,0.419442,0.412278,0.54612,0.416637,0.406335,0.552694,0.421103,0.408279,0.584816,0.451605,0.436404,0.623933,0.488198,0.470362,0.819655,0.67922,0.653007,0.849063,0.713487,0.687095,0.831057,0.693301,0.664839,0.852465,0.715326,0.685893,0.852874,0.711898,0.680111,0.851597,0.702132,0.669144,0.897313,0.754643,0.72284,0.882312,0.739268,0.707524,0.884028,0.742076,0.710454,0.876531,0.731927,0.698506,0.842907,0.693773,0.663255,0.891393,0.749468,0.720497,0.876386,0.733356,0.703559,0.87612,0.732859,0.702224,0.86872,0.72045,0.6875,cluster4
0.199265,0.186499,0.241709,0.19931,0.186854,0.23951,0.204347,0.193262,0.246867,0.21346,0.203341,0.25692,0.23379,0.2222,0.271532,0.21214,0.195812,0.237085,0.1901,0.175034,0.211342,0.1868,0.172033,0.208342,0.186772,0.173016,0.209178,0.202611,0.187195,0.222794,0.457147,0.433586,0.455867,0.533162,0.509042,0.530668,0.594679,0.571191,0.593191,0.608219,0.587013,0.608935,0.585155,0.564151,0.586276,0.715361,0.679659,0.69469,0.708251,0.670324,0.685035,0.577599,0.540187,0.556625,0.554247,0.523914,0.54251,0.666008,0.640574,0.658567,0.753504,0.706323,0.715366,0.637981,0.589957,0.601406,0.446001,0.400119,0.417425,0.473511,0.436622,0.463499,0.551593,0.521572,0.541836,cluster2
0.206307,0.187265,0.241682,0.202861,0.186038,0.239336,0.201159,0.184454,0.237895,0.207515,0.186404,0.239544,0.225191,0.196801,0.247979,0.29176,0.224029,0.259011,0.294113,0.225868,0.258792,0.298141,0.227302,0.259377,0.306265,0.23074,0.262313,0.336675,0.251239,0.27883,0.498178,0.36735,0.374485,0.516634,0.382393,0.38614,0.529098,0.392257,0.393639,0.553267,0.410155,0.407737,0.57811,0.428576,0.422165,0.721293,0.539067,0.517043,0.751707,0.565709,0.539594,0.771818,0.582553,0.552145,0.781272,0.588773,0.554522,0.783851,0.589995,0.553176,0.814456,0.615467,0.581741,0.837836,0.634979,0.59817,0.848189,0.643604,0.603599,0.847998,0.642999,0.59987,0.838487,0.634333,0.590044,cluster2
0.353718,0.34168,0.330986,0.353955,0.340121,0.332224,0.355337,0.340351,0.332002,0.356026,0.341956,0.333449,0.357989,0.344753,0.336997,0.374962,0.365764,0.356706,0.370553,0.360539,0.349886,0.375048,0.363467,0.352439,0.381245,0.367963,0.3567,0.388797,0.37498,0.362905,0.404031,0.393173,0.388893,0.396905,0.387492,0.378036,0.388742,0.380886,0.367918,0.393643,0.384076,0.370976,0.400251,0.388184,0.375547,0.460018,0.440902,0.446004,0.438869,0.425135,0.424481,0.42522,0.414941,0.410152,0.411858,0.405528,0.396874,0.40697,0.399695,0.389858,0.514774,0.480877,0.498478,0.503292,0.473524,0.488403,0.491187,0.46502,0.476501,0.471415,0.45067,0.457338,0.455544,0.437554,0.441388,cluster1
0.421152,0.295417,0.327382,0.416684,0.293886,0.325353,0.421145,0.301742,0.330429,0.436274,0.323655,0.349115,0.4513,0.344189,0.365896,0.405249,0.292136,0.324737,0.391398,0.284959,0.316255,0.383393,0.281571,0.312752,0.385339,0.286344,0.316707,0.389795,0.296058,0.323508,0.405646,0.309446,0.335019,0.39316,0.300412,0.326176,0.38254,0.291211,0.318707,0.379015,0.287006,0.316202,0.393327,0.302403,0.328184,0.453366,0.375424,0.393451,0.431104,0.360158,0.377867,0.426544,0.357023,0.376726,0.413493,0.338999,0.359741,0.422593,0.340302,0.36099,0.496262,0.420734,0.439086,0.49462,0.423117,0.440475,0.507781,0.440295,0.456475,0.471376,0.405824,0.422309,0.451835,0.383633,0.401935,cluster1
0.273544,0.229891,0.269659,0.308772,0.254638,0.290135,0.349866,0.280536,0.310709,0.386136,0.306387,0.333932,0.398569,0.315812,0.341854,0.299599,0.24827,0.286517,0.340903,0.27755,0.311592,0.378408,0.301208,0.330306,0.401555,0.317324,0.343756,0.410476,0.32325,0.349717,0.332795,0.27248,0.306338,0.366041,0.295425,0.327385,0.398403,0.316038,0.3433,0.412968,0.326621,0.350744,0.415045,0.326262,0.352404,0.387255,0.316694,0.33837,0.405564,0.328821,0.350753,0.416245,0.333053,0.355948,0.419285,0.33324,0.356566,0.423885,0.334243,0.359973,0.411505,0.335016,0.349219,0.430624,0.349356,0.362866,0.429907,0.345682,0.362278,0.424511,0.33828,0.360031,0.425094,0.334858,0.36012,cluster1
0.339415,0.314478,0.363235,0.327147,0.303805,0.352802,0.289332,0.262678,0.310506,0.273437,0.249328,0.29634,0.31774,0.286139,0.323605,0.340612,0.316901,0.367452,0.3272,0.305336,0.356182,0.306698,0.281285,0.331211,0.240065,0.216072,0.262694,0.264015,0.234892,0.266342,0.276661,0.253816,0.306068,0.262733,0.240667,0.290261,0.256686,0.232258,0.281686,0.220609,0.19483,0.229468,0.416828,0.390221,0.410694,0.314967,0.294658,0.351588,0.286161,0.265335,0.319864,0.251451,0.228557,0.278873,0.241919,0.216406,0.241591,0.643026,0.616154,0.629863,0.258697,0.24381,0.301715,0.24676,0.227923,0.279093,0.242764,0.22194,0.271102,0.228094,0.20363,0.226581,0.670053,0.643184,0.655463,cluster1
